AUC_inf,Cmin_A,Cmin_Ts,Cmin_Tm,Ts_supp,Tm_supp,TO_1min,TO_2min,TO_1mean,TO_2mean,TO_1max,TO_2max,TO_pmin,TO_pmean,TO_pmax
686479.570818887,33.2021861439133,0.000943926093946676,0,2.06924683034794,0,99.6831240468386,99.9674135571215,99.7296720920583,99.8552936612992,99.90284622564,99.979669828224,99.9751768621684,99.8963621202325,99.9878250992647
36940.5335292339,0.00253441839175935,388.073308692917,0,35.4061232673121,0,1.45079195419993,2.30229688006822,7.30833203331435,28.6005705999275,14.5353497671349,60.4030487326458,2.15258687626429,32.0542410399499,77.1429499115112
679723.409910358,32.7033013666739,0.915452067189765,0,46.6199156226215,0,21.6168454187183,75.0650153522794,31.6455864714429,80.5257917994981,12.8370972716548,39.0049342346794,68.0540887111651,86.9521369904519,92.4519816338086
72275.8474087457,0.0495926719848356,63.0065310936345,0,190.774577101958,0,2.64359928689732,4.11196488981596,11.5449541952039,40.0299570659657,22.6621249705737,70.700907713206,3.74653797317775,43.3131981725063,87.9548859376888
631472.137199397,16.0516763120801,0.0142405770313704,0,3.41646146310089,0,93.168262509055,99.9607422237366,99.281685010476,99.9400977721003,99.6832683155782,99.9795866773839,99.9472178258586,99.9568185408109,99.9826544596127
698832.836887604,37.0962750065916,0.000194449826911857,0,0.00259435498628027,0,36.1402389420276,84.7456236141567,52.3907287593179,90.7648361491009,45.7735687236319,77.1524399142745,80.5933873540193,91.9807637161024,97.3853412214176
691228.76673613,35.3467614100553,0.0226209901797321,0,0.104229148530309,0,79.796585054856,97.4748991129528,89.3049942489173,98.651402133925,93.0991135256223,99.1510231192016,96.572618800409,98.739669428826,99.51406404594
466162.458469081,24.0653953583898,8.42113873056932,0,8.62281686659406,0,11.9780149445361,53.9180339779307,22.2306675721517,70.0669832698331,30.6458666003757,77.7613560479751,41.3087481975763,81.3483173712727,96.419275369422
42961.2484145444,0.123364479853448,560.796297770646,0,51.2335690137481,0,1.25445837448852,1.95082043976539,5.07462773644053,21.5209293548316,8.70356015271361,48.3011867353934,1.70929424760338,24.48603369359,69.858916675082
610197.725140074,9.72613652286826,0.00817190164345919,0,0.175629433228979,0,99.3334584934545,99.9686270661963,99.724372543052,99.9816659702208,99.8344280342812,99.9868446038469,99.9568326388015,99.9898866199787,99.9916509035794
394650.950180712,15.7040619028695,0.892562113243905,0,2.1489030791077,0,62.1471812591437,92.238745036728,76.8404089338588,96.0906612341165,83.391684354778,97.2142178798519,86.2233224664438,97.1019131163588,99.4806827617282
121769.303351737,0.173853614041774,17.9692146363551,0,56.7503051265006,0,10.0063167975965,14.8637809302674,30.3153005048758,69.3418541823904,46.8575573608677,88.061828866622,12.9731529805099,70.8741254293556,97.1719885539627
647375.805195983,21.0782038869338,0.006167463286779,0,5.3884845029122,0,98.9102461706987,99.9671282395341,99.62686990506,99.9019700469383,99.8283879499627,99.9794389772509,99.9686151064463,99.9305489543186,99.9868276785766
625196.898113753,24.2876713447509,0.0578457901458131,0,0.197823969241031,0,91.7297351954638,99.0054285222431,95.8611560542064,99.5005016474077,97.3071143465119,99.6794928239349,98.3509849124608,99.4798237691525,99.8332561572067
698772.402261351,37.0921953121696,0.00011638309211835,0,0.0733939386296528,0,83.8607242868707,98.0796120988309,85.8634900816643,96.8298630932006,38.9179594375287,52.7706432261878,97.4653405411494,97.8292622128306,93.2541788627259
288303.37733618,0.319010721165281,18.7403318184884,0,81.1449054898237,0,8.84626523076576,14.2567636805712,24.596526446804,66.6213937622723,38.5079386017056,89.5685264679528,11.802003369786,59.9006866530171,95.2760248253108
540033.575486453,28.5771311769301,115.003480281103,0,40.5559872196017,0,0.848260752441132,7.23224902965832,1.79347595966961,13.4897695241171,2.20583896206888,13.9740708778096,4.81599839167737,24.4798131435383,68.7260929174734
579082.389328698,20.733761959339,0.0528822517060745,0,0.161705580760194,0,94.1278787882879,99.2497535840978,97.0858205769817,99.6339405053017,98.0974569568662,99.7633866773265,98.6949389528174,99.6271335474231,99.9027188422561
325072.902400057,0.6125834806378,0.157962040634257,0,0.594783507337898,0,93.820195118084,97.1382449836462,97.6769073013127,99.6194482714303,98.7324697699684,99.8795719630901,95.9652118295213,99.4420425352912,99.9155105695424
594911.187360868,31.0575930949178,56.7058597706925,0,46.2177180628864,0,0.85108443232692,7.42620384953849,1.81223696263676,13.8318495612924,2.23687501917881,14.5157601318244,5.14953328765837,24.7633467599269,66.7864757385753
698776.214972012,37.0820538082955,0.00339661502149137,0,0.147327684981186,0,22.205393678142,73.699140038058,31.9914709414299,79.8577463722451,11.8137091478584,36.2731274262152,67.6745590445767,86.1857030529359,92.4434470560653
698415.197902706,37.0938347574602,0.108426657519212,0,0.031165588673479,0,0.957084115790409,8.66038316876676,2.06601773242428,16.0435638702744,2.57750507882654,17.2121001849123,6.61261962559987,31.6262534129901,75.60821973521
689481.921933562,36.1836592777569,0.27812606717908,0,0.654595080291189,0,11.7855869484017,56.5613928606894,22.4969323435599,72.2948570137808,31.2785424295419,79.453910511985,48.9575823202539,80.1622658191491,94.7737395261963
695752.440893775,36.6476067778706,0.00831144544662016,0,0.0247998875742967,0,67.4196476801826,95.288062733926,81.7950425658587,97.5576409277392,87.6827692343445,98.4032760014672,93.7682108452256,97.9924247686716,99.3716726294698
690960.084259351,35.677335049826,0.155831282582618,0,0.595990655435719,0,29.1631219786797,80.0404629184445,46.6755596117597,88.5657746156115,58.4932989142848,92.4356322919366,74.5802944524321,90.0363731148705,96.8441351679304
