AUC_inf,Cmin_A,Cmin_Ts,Cmin_Tm,Ts_supp,Tm_supp,TO_1min,TO_2min,TO_1mean,TO_2mean,TO_1max,TO_2max,TO_pmin,TO_pmean,TO_pmax,TO_plast,TO_1last,TO2last
1936816.18955156,177.020223376511,0.00023641133578083,0,2.24865730954181,0,99.9182474633092,99.9960257950319,99.8831993349039,99.9511789527371,99.9847390804542,99.9988317151522,99.9953399961979,99.9119630280383,99.9987976650057,99.9989694324125,99.9856260920626,99.9990887254323
64003.2527136157,0.0318613819069644,445.275221227243,0,14.7597936585481,0,5.53689585535299,39.0992549910408,11.949422259517,64.1802859234759,17.0488759991201,76.0762210992362,21.664314881232,51.3523124542099,78.7445279483933,26.8347658714961,8.20932065654745,45.7420905087006
1919295.27415018,171.985482525196,0.412455693754781,0,51.2262590404181,0,48.6348634842119,93.6768717500667,66.1060226560881,95.8862953245567,25.8388293053932,75.4430478272794,91.8105796186124,96.3068247610198,92.451716450826,97.9165132603673,83.4295946154115,98.3629511710828
126552.684648762,0.590967526671938,94.9655008282106,0,180.722495035202,0,8.90446072401328,51.9341815101288,18.4200036961645,74.9868853481475,25.3970413413044,83.9924061356894,31.6846968343089,63.9302009786688,89.1238826160502,38.2396397932499,13.0636583976421,58.811435677477
1828511.90873309,156.937628788036,0.00174655881980423,0,3.72510047314934,0,99.7726419443849,99.9955383037758,99.9246996077412,99.9838848382899,99.9776400910109,99.9987433253794,99.9945312205569,99.9720098227276,99.9986214678295,99.9988304275798,99.9792006117702,99.998981622298
1961150.72774602,181.73075326489,0.000116221815102437,0,0.00291331815053843,0,66.0194745659841,96.3922672837478,83.9689721880055,98.4295557601677,90.6290821837805,99.1492550819848,95.3199753104518,98.4249655107831,99.0588821428015,98.8114548029927,90.2894580461654,99.0674953062318
1942546.46888676,178.459625278119,0.018102494590733,0,0.119697599216938,0,93.0189468173587,99.4704386138698,97.5446932281879,99.7936696543782,98.5561054169717,99.875454995887,99.3020456808416,99.790474600447,99.8291855279006,99.8291855279006,98.4559223532823,99.8660680176829
1185188.64637636,113.918499513506,10.7270672792243,0,7.78815630686515,0,28.66074345158,84.7859875424076,53.4759343214043,93.5083400161607,63.4676231700407,95.4545659502623,76.9152578747419,93.0540587206043,97.3250210361113,91.3084598500403,59.5856627642175,94.4120531696848
75854.5239930696,1.37040604778741,643.255955105198,0,21.605541410528,0,3.88970128199103,31.1165663611253,8.51843113920166,55.1240060175438,12.2565812550772,68.0118339075487,16.1901517847564,42.1677689219666,71.8365010399105,20.631761749852,5.91331338185914,37.555429924993
1781481.05038097,148.438293650251,0.00151614454840169,0,0.198151285420219,0,99.8063680867922,99.9974548465432,99.9625062902604,99.9984909375389,99.9859996267705,99.9994108213983,99.9971236603272,99.998268879367,99.9994364624634,99.9994744088717,99.9845174032855,99.9994769734637
906637.474132011,74.5097527691699,1.27258574136352,0,2.03142474755554,0,80.6016746910876,98.2912281769942,91.5106686096571,99.2738889765778,93.9769794290932,99.4831191209806,96.7424309006932,99.0797672345428,99.6372200557305,98.7041391403416,92.3808618505169,99.2866241639986
214947.620542521,1.85958437279683,26.0701710652567,0,55.0992855651485,0,24.8902944355376,78.9120557507363,43.2424901992871,91.1317135348419,53.2597655363766,94.5722541682125,61.4529735600614,85.4203947868409,97.4658116427292,68.3588195766679,34.1074183594426,83.3811924742656
1859914.00121811,162.547702138019,0.000975802955266377,0,5.85935320071422,0,99.8692709003093,99.9964960019839,99.9093231446851,99.9687435448019,99.983418193867,99.9990010378991,99.9958851181058,99.9439262156177,99.9989835988958,99.9991332929256,99.9845060086931,99.9992183755911
1748844.42685939,143.89503009332,0.0670083110847808,0,0.21073136807966,0,97.0299010280087,99.8025891269069,98.9935172965697,99.9256671374721,99.3769127239151,99.9550933815503,99.7176966032318,99.9223838448951,99.9557131179024,99.9324314665449,99.2939337201764,99.9483568027503
1960676.5389386,181.827353759709,4.53998812058133e-05,0,0.0798104783393691,0,94.7174043556834,99.5977827417558,95.5923773415212,99.1304992517985,59.7229662413731,88.3545072350925,99.4730376731879,98.7091551396886,93.2528411648752,99.8701458004207,98.8487747928239,99.89844414252
517326.674938239,3.17220324352375,25.1195935662619,0,83.387935168488,0,20.2274580532505,76.0383493759116,37.1502331040662,91.7492923435348,47.4998286189428,96.3674703374141,57.0916913062637,83.3090924547996,96.8344038086173,65.4779601887183,29.0670748603375,81.7657784777588
1429168.8964747,136.771025503967,135.120974267189,0,33.8666944279775,0,2.61743091599849,27.1052161908543,7.46540110634998,50.163425184872,11.0987988042526,60.0973459809191,19.4948798948077,50.3957311608724,73.5855828774734,45.8695589475752,9.87189281911843,55.6877298688619
1551159.95183024,116.78426779566,0.0667482873365605,0,0.166363191645966,0,97.8300993720968,99.8507047997778,99.2326500129647,99.9440092182898,99.5031185494135,99.9645987909478,99.7656443374068,99.9387025681852,99.9673865843928,99.9415605387431,99.4133439841072,99.9573133044354
582055.443239466,4.69550831781251,0.193164544269123,0,0.624559489608171,0,97.1361002433055,99.768418929455,98.7341692074726,99.9289522880082,99.1657597071974,99.9644147139719,99.4508091882467,99.8323556996085,99.9512932966319,99.6155203450307,98.2399203537037,99.8360149060095
1609447.51637799,150.163758470074,70.5078559644814,0,41.3002888646541,0,2.7015403222766,27.7222855938863,7.864619846859,51.4649194447678,11.801665841634,61.4468805454185,20.7901220362056,52.2379277666225,73.4365335647908,49.3962095944369,10.6543211984833,57.8021660558461
