,T0,thalf,KD,y_test,y_pred
0,0.119885938,0.100710458,0.008746102,1.0,1.0
1,135.9273676,21.52091631,1.398344497,1.0,1.0
2,0.002013066,0.352515625,0.01535182,1.0,1.0
3,246.7245522,0.388608433,0.140842303,0.0,0.0
4,3.314831399,0.122751557,0.830622458,1.0,1.0
5,0.023247376,0.027563366,0.007967258,1.0,1.0
6,0.060184206,6.955322535,25.73418295,0.0,0.0
7,0.104055839,18.58943243,142.5389707,0.0,0.0
8,0.006453387,0.433456412,116.7871571,0.0,0.0
9,16.14461179,56.54458646,0.014273931,1.0,1.0
10,0.004202211,142.1846192,0.003430315,1.0,1.0
11,0.968288108,4.443499431,0.010214775,1.0,1.0
12,0.016829283,112.7129195,2.263462226,1.0,1.0
13,104.7250992,0.064458827,0.001698075,0.0,0.0
14,3.6547853380379083,1.2088905595283892,621.7402613734854,0.0,0.0
15,0.01726371,0.115040866,3.240993528,1.0,1.0
16,3.281282168,0.075616473,0.169493299,1.0,1.0
17,361.8578973349839,0.35048241187289386,0.1559925659527747,0.0,0.0
18,0.347568237,0.371053982,115.2859173,0.0,0.0
19,605.1893348,2.859183118,0.002038358,0.0,0.0
20,1.378394243,0.980048857,10.59869322,1.0,1.0
21,71.85094959,0.816202809,0.065961875,0.0,0.0
22,2.089411275,0.03434652,0.666803575,1.0,1.0
23,4.31950345,0.076512359,0.629133999,1.0,1.0
24,0.004596526,7.544190399,6.440352726,1.0,1.0
25,23.09207519,0.074695389,7.625274016,0.0,0.0
26,0.367859288,9.239922172,0.168169781,1.0,1.0
27,216.5573071,1.084324967,0.327965524,0.0,0.0
28,0.001527175,236.2739083,0.096948502,1.0,1.0
29,0.167981327,57.55599177,115.1198762,0.0,0.0
30,0.001663284,21.6387332,0.331077418,1.0,1.0
31,0.056724091,0.024914269,0.978739632,1.0,1.0
32,5.07146054,0.109664961,1.150359436,1.0,1.0
33,0.001346516,0.119609294,0.333371035,1.0,1.0
34,27.41474513,17.27510542,89.12162825,0.0,0.0
35,8.64110575,6.643841427,0.389061452,1.0,1.0
36,8.233577119,2.457480499,199.6219548,0.0,0.0
37,51.934530344538466,131.64608755855642,8.313708473878803,0.0,0.0
38,0.029201838,84.55595606,0.002009515,1.0,1.0
39,40.72049772,0.292862492,0.086217736,0.0,0.0
40,0.265549327,0.202737355,1.834179377,1.0,1.0
41,0.051370155,11.34942743,240.1743447,0.0,0.0
42,8.504249647,0.31336111,5.389995634,1.0,1.0
43,0.166255667,7.655515355,1.846724412,1.0,1.0
44,0.05502963165331118,0.36243513106160163,67.73433516674814,0.0,0.0
45,2.743127591,1.70380422,47.65229639,0.0,0.0
46,28.95709084,0.12562372,16.22100328,0.0,0.0
47,142.3740503,0.181474763,1.58978683,0.0,0.0
48,45.50833879,0.569544031,0.024242292,0.0,0.0
49,174.7969208,0.230027807,0.00207717,0.0,0.0
50,15.80147206,13.54027123,11.01058972,1.0,1.0
51,1.692995718,0.214974387,3.11740222,1.0,1.0
52,18.33433753,0.16953746,0.101403544,1.0,1.0
53,158.5560821,0.154270773,0.57777803,0.0,0.0
54,144.95406618510637,0.07871892267922381,0.4046318639485047,0.0,0.0
55,24.76311105,0.457004184,2.424976375,0.0,0.0
56,0.001632363,8.66648942,0.006628464,1.0,1.0
57,947.2405799,71.83876696,884.6736474,0.0,0.0
58,806.5075875,4.402118502,574.8794556,0.0,0.0
59,0.379976776,0.156342811,0.465995094,1.0,1.0
60,0.050030352,1.955123278,1.634393543,1.0,1.0
61,269.4316701,21.82868652,0.005345219,0.0,0.0
62,0.052384537,0.487618708,6.901673306,1.0,1.0
63,109.1470325,0.598763503,0.001697163,0.0,0.0
64,0.422644083,35.01353822,364.4268788,0.0,0.0
65,0.387697767,0.038771187,73.71265021,0.0,0.0
66,1.953755562,1.69389701,0.497429128,1.0,1.0
67,46.19796405,32.40477797,0.008328789,1.0,1.0
68,0.010266332,3.90785055,593.7842904,0.0,0.0
69,0.119255276,0.333389894,5.36401477,1.0,1.0
70,10.56400166,19.93329478,0.004460481,1.0,1.0
71,243.47425002077728,13.40282580476828,0.024981289658787386,0.0,0.0
72,6.60279966,7.396082912,0.453019882,1.0,1.0
73,0.003893063,42.32984816,193.1068734,0.0,0.0
74,0.049280599,35.09964107,38.1795844,0.0,0.0
75,80.58419140244848,0.5918083700840198,46.82221418233293,0.0,0.0
76,0.034077535,80.39247749,0.002535941,1.0,1.0
77,1.421198039,2.282050289,42.89112993,0.0,0.0
78,64.89265876,0.04211311,0.002547558,0.0,0.0
79,2.48121781,0.021504682,693.1136058,0.0,0.0
80,0.2190508,75.71480997,0.034176725,1.0,1.0
81,0.4788233726680588,232.52386975354233,826.6860066157471,0.0,0.0
82,633.0983023,9.064367394,0.014574577,0.0,0.0
83,738.0779361,0.189926294,0.035452813,0.0,0.0
84,1.781784529,0.729416044,0.25517989,1.0,1.0
85,0.46838566,0.024657896,0.6645072,1.0,1.0
86,245.22790108758625,2.9203851942224177,0.081258393181094,0.0,0.0
87,0.003256696,4.854228709,0.003966688,1.0,1.0
88,2.543950963,34.21596893,0.021431305,1.0,1.0
89,0.003826363,0.04712485,1.473783687,1.0,1.0
90,0.169141279,4.732350029,11.06745727,1.0,1.0
91,0.030376531,2.76360459,0.111849358,1.0,1.0
92,18.56409611,225.3766449,109.192372,0.0,0.0
93,0.002945301,0.689288972,0.00276694,1.0,1.0
94,0.004681412,49.55253,0.568099707,1.0,1.0
95,67.36964572,0.027978564,28.07725655,0.0,0.0
96,92.34000732,12.08396428,0.005086396,1.0,1.0
97,42.743532,112.4827706,1.720781131,1.0,1.0
98,541.7822672,0.046150003,0.028262418,0.0,0.0
99,1.003769921,0.328844387,124.8871035,0.0,0.0
100,0.013555269,1.828631719,0.013167741,1.0,1.0
101,2.974105844,0.141473582,0.084197139,1.0,1.0
102,0.039491664,24.26865222,351.1908164,0.0,0.0
103,1.637607803,0.096268637,2.400681636,1.0,1.0
104,0.269791106,0.930021248,0.001502832,1.0,1.0
105,80.49389307,0.045577836,0.121096141,0.0,0.0
106,302.28864121885016,1.6051525364383528,0.0017097105116368983,0.0,0.0
107,1.27304553,98.55700159,381.273242,0.0,0.0
108,7.715118929,0.054696644,0.20879119,1.0,1.0
109,0.157141387,35.03335106,124.5424781,0.0,0.0
110,0.001024,5.954555605,0.004969604,1.0,1.0
111,0.019416411,0.029385683,67.19313127,0.0,0.0
112,0.052181458,3.147038753,0.002898902,1.0,1.0
113,287.2701168,20.56944769,799.9516572,0.0,0.0
114,2.372997179,0.41395189,729.7215034,0.0,0.0
115,0.033529805,40.92569789,5.918668648,1.0,1.0
116,0.145905209,53.97290103,90.07776061,0.0,0.0
117,0.003000012,4.16737793,0.007004005,1.0,1.0
118,0.021556457,19.65980888,8.153801639,1.0,1.0
119,0.129934686,168.8719578,0.00234671,1.0,1.0
120,0.049665598,0.047169866,25.08706007,1.0,1.0
121,0.019857786,0.055455827,14.10515988,1.0,1.0
122,21.16190719,6.626239522,0.084055632,1.0,1.0
123,18.01466,75.97713072,0.001874649,1.0,1.0
124,0.247129793,0.381138637,1.659354469,1.0,1.0
125,0.015911486,0.225036716,0.907065781,1.0,1.0
126,0.021910421,1.426478641,74.44995063,0.0,0.0
127,215.6490488,0.853642453,13.02746461,0.0,0.0
128,48.09422325,133.4786408,0.011312428,1.0,1.0
129,0.007186449,74.3347933,31.98117736,0.0,0.0
130,0.156073918,0.176596234,72.59080834,0.0,0.0
131,0.006604642,1.768533734,0.011667118,1.0,1.0
132,31.090077649254276,0.2710611278003477,0.006589127360992937,0.0,0.0
133,0.071819654,1.674593163,0.01291799,1.0,1.0
134,0.096329786,13.97803323,2.880230022,1.0,1.0
135,69.67828479,0.315611041,59.36318851,0.0,0.0
136,82.72587402,0.581951071,42.73492632,0.0,0.0
137,2.569736931,0.03508523,0.044878076,1.0,1.0
138,562.0492623,26.39578123,0.001964526,0.0,0.0
139,0.031997243,0.056065335,0.026032602,1.0,1.0
140,0.031331762,0.174438419,0.247200967,1.0,1.0
141,16.57404307,0.16020115,2.677968996,1.0,1.0
142,0.211537425,0.293482745,0.179490092,1.0,1.0
143,28.80387814,36.19410121,751.0326102,0.0,0.0
144,0.016569463,3.964272714,0.007556385,1.0,1.0
145,0.004748496,1.335010145,0.064723417,1.0,1.0
146,0.038524205,8.544780367,430.7276671,0.0,0.0
147,64.10984973,170.3723666,778.5723128,0.0,0.0
148,0.186759173,0.140146793,0.064275184,1.0,1.0
149,0.003287078,12.61562058,0.040649135,1.0,1.0
150,42.21158118,0.054271986,58.48671661,0.0,0.0
151,0.026179963,40.80805812,4.10210844,1.0,1.0
152,0.078365618,14.51391108,0.450472652,1.0,1.0
153,24.97875091,0.300378094,0.253029968,0.0,0.0
154,0.001103421,0.326866061,0.001530865,1.0,1.0
155,0.001151364,0.153967631,0.005422799,1.0,1.0
156,286.1338009,274.0144252,0.176775147,0.0,0.0
157,367.5220247,11.79258618,22.19429311,0.0,0.0
158,1.175598185,0.056700541,11.6887875,1.0,1.0
159,87.00890709,0.039529638,0.128307251,0.0,0.0
160,1.043167315,0.093080353,0.013107706,1.0,1.0
161,265.0818231,0.036650796,537.046935,0.0,0.0
162,0.002505164,44.18284788,51.05912023,0.0,0.0
163,0.206063869,0.068000808,0.986893836,1.0,1.0
164,0.005578556,3.651738157,0.011756126,1.0,1.0
165,1.856746593,266.5136854,111.1509028,0.0,0.0
166,0.009723804,7.613604756,0.93328263,1.0,1.0
167,2.243666251,9.97217832,0.016931549,1.0,1.0
168,11.36990004,10.48822622,511.1635256,0.0,0.0
169,0.021918023,64.57533942,0.02727473,1.0,1.0
170,0.12671825675995918,0.30179840467094843,581.488087989418,0.0,0.0
171,278.117820024812,20.092920930241462,0.024880592539543844,0.0,0.0
172,0.001294629,4.954458767,0.008366594,1.0,1.0
173,652.6001508,2.124475032,34.02458756,0.0,0.0
174,0.035973792,2.823258039,0.042458262,1.0,1.0
175,0.015435829,0.048337699,34.67603614,0.0,0.0
176,1.015170079643874,46.788738473716776,56.786810484457696,0.0,0.0
177,9.060449117,0.063984396,0.007652079,1.0,1.0
178,20.30103596,0.117547924,0.07980438,1.0,1.0
179,0.002417613,0.02166857,580.5916475,0.0,0.0
180,0.019067884,1.280406045,0.306228843,1.0,1.0
181,0.625131284,0.020560553,0.00294306,1.0,1.0
182,0.16966969,6.009085789,37.65445643,0.0,0.0
183,1.329626627,25.48686416,0.047153435,1.0,1.0
184,0.189473738,33.67227351,0.098671626,1.0,1.0
185,0.194518837,55.03128184,0.71314996,1.0,1.0
186,3.695338107,67.21231018,0.004460511,1.0,1.0
187,9.411901256,0.166193788,0.001033232,1.0,1.0
188,551.4452423,0.124629491,3.480792122,0.0,0.0
189,49.79000405,0.926377164,0.001971388,0.0,0.0
190,0.005517185,85.94078975,0.445698546,1.0,1.0
191,80.57052317,0.422325688,400.3113602,0.0,0.0
192,3.524406186,1.89968976,0.001673636,1.0,1.0
193,0.202588682,0.188889856,0.51914417,1.0,1.0
194,0.840517371,243.5450577,0.021161648,1.0,1.0
195,0.004203541,0.017158338,0.404866099,1.0,1.0
196,0.066419947,2.265232515,454.7108161,0.0,0.0
197,382.7304973,2.369746551,0.470620539,0.0,0.0
198,118.04095147450043,0.3679092348217734,0.00530647518156656,0.0,0.0
199,0.002107335,4.491913029,37.35581305,0.0,0.0
200,106.8564164,67.30000304,0.025081083,1.0,1.0
201,914.9793143,148.3388747,15.15148122,0.0,0.0
202,218.0815596,31.69426704,0.099669428,0.0,0.0
203,475.9042707,30.28489078,0.00754508,0.0,0.0
204,19.20822679,49.22969282,0.002102025,1.0,1.0
205,812.9772906,104.8852227,0.161184888,0.0,0.0
206,623.9741598923563,7.499100022512495,1.5760355725875037,0.0,0.0
207,0.126828619,6.137127668,0.083120995,1.0,1.0
208,0.001081779,6.452481002,0.021880521,1.0,1.0
209,78.19336503,0.112149856,111.0633173,0.0,0.0
210,46.06936221,0.70129456,0.012626655,0.0,0.0
211,622.7135417,222.7806352,373.3619541,0.0,0.0
212,12.94825715,0.297159338,0.025659166,1.0,1.0
213,0.125949468,47.27338347,462.5945435,0.0,0.0
214,4.804659602,0.166842592,0.02079052,1.0,1.0
215,0.265625013,10.97232221,298.8687919,0.0,0.0
216,737.187497,1.241303618,3.584994308,0.0,0.0
217,69.10077307,89.37511123,18.09160354,0.0,0.0
218,0.001107822,0.186439996,14.78111468,1.0,1.0
219,0.130435522,9.211314273,631.085576,0.0,0.0
220,0.154338753,0.036037792,16.98503324,1.0,1.0
221,0.528202548,12.01888069,0.001023991,1.0,1.0
222,0.12590399526647497,167.6227147131191,16.96482081388628,0.0,0.0
223,775.051102,0.208276064,0.38086317,0.0,0.0
224,68.04727525,144.7343618,11.33627128,0.0,0.0
225,132.052607,0.06634894,3.084035733,0.0,0.0
226,0.004235866,87.31723655,7.372503654,0.0,0.0
227,0.236353298,6.829365693,0.042263291,1.0,1.0
228,138.7665742,94.5263563,0.052398909,1.0,1.0
229,147.9891892,0.969955918,480.201836,0.0,0.0
230,4.073497526,0.104961059,6.110686187,1.0,1.0
231,0.270062394,17.12735209,0.001834721,1.0,1.0
232,15.02523106,7.742245873,227.4526503,0.0,0.0
233,0.001077829,74.24682205,309.1845838,0.0,0.0
234,0.001309029,2.679163807,38.62795649,0.0,0.0
235,0.31764042220634103,13.699132720330002,314.35067728512126,0.0,0.0
236,0.118899357,0.392568046,404.1525852,0.0,0.0
237,0.187241381,15.56928846,0.064507562,1.0,1.0
238,0.064472933,144.7272043,0.002366416,1.0,1.0
239,0.6715817918417748,52.038599244212264,112.6002931795886,0.0,0.0
240,0.605749103,141.9087962,337.9818707,0.0,0.0
241,10.85231912,19.50851616,702.9353856,0.0,0.0
242,41.91023037,13.75732232,0.004113828,1.0,1.0
243,2.86291303,1.761359938,0.002013291,1.0,1.0
244,0.001689518,57.16320641,0.002391755,1.0,1.0
245,0.201544078,0.079889145,0.246023366,1.0,1.0
246,0.007438974,11.79945325,0.002535809,1.0,1.0
247,137.2326515,214.650627,49.50642152,0.0,0.0
248,1.456232895,0.243812676,14.73119273,1.0,1.0
249,0.004779441,0.046108411,0.015945487,1.0,1.0
250,142.3363374,3.039696483,200.0359754,0.0,0.0
251,61.318983,0.257102748,1.951885048,0.0,0.0
252,0.078541734,3.57451934,0.214209096,1.0,1.0
253,0.001314506,0.053150819,0.581829046,1.0,1.0
254,0.099198692,0.193313353,63.62101092,0.0,0.0
255,7.263035009,86.78334886,0.001338767,1.0,1.0
256,1.391314005,91.13957143,9.781741634,0.0,0.0
257,903.5436125,4.857920873,0.003159454,0.0,0.0
258,0.544046332,247.4519954,0.009495051,1.0,1.0
259,17.65085542,69.73961647,0.205340009,1.0,1.0
