,T0,thalf,KD,y_test,y_pred
0,0.733993146,112.3326518,0.19035639,1.0,1.0
1,0.004488798,153.7758756,0.134967951,1.0,1.0
2,1.20676177,0.233398778,0.019325383,1.0,1.0
3,0.192875541,35.34460681,0.201563887,1.0,1.0
4,0.03649702,0.029187798,233.8380484,0.0,0.0
5,47.22168882,0.076083754,0.113648518,0.0,0.0
6,31.40781034,0.050532022,0.01341878,0.0,0.0
7,0.046750703,0.285156733,0.37425571,1.0,1.0
8,0.044421338,63.68734544,4.653441879,1.0,1.0
9,18.59545781,242.8004887,0.001899312,1.0,1.0
10,41.70366326,1.117130397,0.335771499,0.0,0.0
11,506.2888179,7.775008248,0.037981962,0.0,0.0
12,0.037700225,229.2549876,0.006671367,1.0,1.0
13,2.154266431,18.41108605,340.3823564,0.0,0.0
14,1.551490667,238.4848514,84.16497253,0.0,0.0
15,0.002201285,0.157332093,1.643389222,1.0,1.0
16,13.11098446,2.847795252,53.67672708,0.0,0.0
17,0.122316095,0.153648669,102.2464578,0.0,0.0
18,0.017316062,0.045891498,0.002208424,1.0,1.0
19,0.001139828,4.475716555,9.988765635,0.0,0.0
20,15.66841695,0.051766037,0.011952465,1.0,1.0
21,1.501610888,0.030543067,304.1727203,0.0,0.0
22,0.05882026,3.378039667,0.002465203,1.0,1.0
23,0.896110812,56.33907807,0.063568408,1.0,1.0
24,37.39729798,0.513477805,0.01248542,0.0,0.0
25,0.002571839,4.496157684,636.0399385,0.0,0.0
26,0.0012362310795703444,197.39634448474914,16.38772521328087,0.0,0.0
27,0.001035518,1.579358093,96.69227639,0.0,0.0
28,0.0037119786371875535,283.8198267907208,28.23530344597997,0.0,0.0
29,1.104858866,0.03758911,0.028631115,1.0,1.0
30,0.117985334,10.98177672,0.001090019,1.0,1.0
31,894.3439477,6.626691437,481.7268699,0.0,0.0
32,0.00886792,0.452604337,446.1322021,0.0,0.0
33,0.022239493701148187,2.267903916644374,127.53074027877705,0.0,0.0
34,0.017893201,2.003335447,7.218248828,1.0,1.0
35,249.213986,0.027719154,13.55863453,0.0,0.0
36,0.649580453,0.692743589,913.5960281,0.0,0.0
37,8.939726674,0.025438389,0.0010579,1.0,1.0
38,0.040097554,0.51433464,3.068776141,1.0,1.0
39,118.2842319,14.69725276,0.250363919,1.0,1.0
40,0.011614369,90.19473986,9.635214967,0.0,0.0
41,0.157141387,35.03335106,124.5424781,0.0,0.0
42,3.586230939,0.143056032,0.038938682,1.0,1.0
43,629.3277641,10.0189763,0.031784519,0.0,0.0
44,21.90282896,2.14198832,0.133073551,1.0,1.0
45,46.03306185,66.54987398,829.7477523,0.0,0.0
46,2.013926894,1.398138985,0.00258789,1.0,1.0
47,78.56027602,0.209524053,39.25184521,0.0,0.0
48,52.85533991,69.33622011,1.364980019,1.0,1.0
49,253.2215068,0.040028853,0.154495232,0.0,0.0
50,0.005795936,5.096056595,6.231072959,1.0,1.0
51,0.799948268,2.120628817,0.004586203,1.0,1.0
52,1.442124203,0.920911022,0.028060161,1.0,1.0
53,0.002628806,104.2952091,5.958407033,1.0,0.0
54,282.2987373,0.050907498,1.378804398,0.0,0.0
55,0.006643869,0.715759388,11.27813857,1.0,1.0
56,0.038527593,1.769991271,0.020991751,1.0,1.0
57,0.090152299,261.715366,0.011404886,1.0,1.0
58,0.004232214,0.114577051,41.24445064,0.0,0.0
59,0.018413646,0.142997436,0.025956111,1.0,1.0
60,991.5424718,124.1524979,1.45782495,0.0,0.0
61,22.06143868,57.284935,142.7855139,0.0,0.0
62,0.005184553,56.03584829,1.615003758,1.0,1.0
63,0.00195128,0.531079599,0.335756365,1.0,1.0
64,0.013275076,10.87008997,0.454286896,1.0,1.0
65,0.283250342,1.260283463,0.002354962,1.0,1.0
66,566.3928425,0.493030773,6.697451321,0.0,0.0
67,0.848789902,63.94608156,561.3740002,0.0,0.0
68,1.228828952,0.099251613,0.034813828,1.0,1.0
69,193.1566098,13.24508067,0.014949491,0.0,0.0
70,0.118852081,83.48581314,62.99739067,0.0,0.0
71,1.64093235,246.1890036,44.31427277,0.0,0.0
72,0.039202982,105.7723162,0.093464573,1.0,1.0
73,105.2254251,3.3810782,0.047710005,0.0,0.0
74,13.2730963,2.768714521,5.163074994,0.0,1.0
75,0.002397875,0.085042681,455.1592679,0.0,0.0
76,0.00103939,0.635196239,459.826761,0.0,0.0
77,0.052740748,4.829031852,8.45560531,1.0,1.0
78,6.91680399424247,1.5431706836053827,413.1405334763475,0.0,0.0
