,T0,thalf,KD,y_test,y_pred
0,52.88676047,0.128690718,0.969181356,0.0,0.0
1,0.240477766,0.169999653,6.809708158,0.0,0.0
2,91.09050556,250.4492712,0.037052247,0.0,1.0
3,7.37451063,0.301413269,156.2179275,0.0,0.0
4,0.017052125,2.075786051,24.14177442,0.0,0.0
5,2.661365222,0.115306407,0.026064528,1.0,1.0
6,0.025124643,0.020799858,149.0873036,0.0,0.0
7,0.001957106,0.738894773,0.011138249,1.0,1.0
8,17.64927638,0.02081809,0.031736031,1.0,1.0
9,106.2590736,0.042174102,0.005415261,1.0,1.0
10,0.003018763,5.964769029,1.14865834,1.0,1.0
11,0.03591464,0.347620128,271.9439432,0.0,0.0
12,0.004990144,0.017119901,0.379966486,1.0,1.0
13,0.011536144,36.69732747,0.001165603,1.0,1.0
14,511.361889,7.474318706,0.037596959,1.0,1.0
15,0.001922597,136.9850247,889.3633532,0.0,0.0
16,0.062808717,0.371546419,0.065784262,1.0,1.0
17,18.17244342,55.86349064,23.36685082,0.0,0.0
18,15.71536398,0.179471082,0.026261038,1.0,1.0
19,0.0122466,2.235345946,0.077599731,1.0,1.0
20,8.268804559,0.018083674,0.001491785,1.0,1.0
21,147.79470005133192,1.1115999632820102,3.6737059171977644,0.0,0.0
22,0.004930231,0.265943388,0.08295138,1.0,1.0
23,88.63350218,0.049034656,0.093641048,1.0,1.0
24,0.097422723,8.43018159,0.311782704,1.0,1.0
25,593.8808687,0.091624994,7.329217773,1.0,0.0
26,0.035229606,0.316357686,0.217070732,1.0,1.0
27,6.451483618,0.475143983,22.6021304,0.0,0.0
28,0.002212656,0.115923126,316.8823866,0.0,0.0
29,0.180207303,2.150818449,525.7020004,0.0,0.0
30,0.820432735,30.5802529,0.001059051,1.0,1.0
31,0.048412197,59.16550936,0.013227194,1.0,1.0
32,0.262270105,57.11840885,2.360518851,0.0,1.0
33,0.001585586,0.317560097,0.571400953,1.0,1.0
34,0.042769138,0.228283415,294.4374092,0.0,0.0
35,10.04332034,3.498555075,0.004432047,1.0,1.0
36,4.220379301,0.810264873,0.278412691,0.0,1.0
37,143.469939,0.994688805,0.002049355,1.0,1.0
38,0.00942446,148.3965557,0.001221362,1.0,1.0
39,0.003398553,0.884506119,0.212448069,1.0,1.0
40,0.040077378,0.384341686,16.38389308,0.0,0.0
41,42.21158118,0.054271986,58.48671661,0.0,0.0
42,0.409189635,2.145748353,468.4100379,0.0,0.0
