,T0,thalf,KD,y_test,y_pred
0,0.017240671,12.55833201,0.096775407,1.0,1.0
1,9.119022984,4.282456789,16.82910352,0.0,0.0
2,0.026008375,0.020368967,0.001364995,1.0,1.0
3,22.53428375,138.5069467,0.002277896,1.0,1.0
4,0.186227534,0.154930017,0.652406476,1.0,1.0
5,0.068995546,0.236039146,0.047059346,1.0,1.0
6,1.691235738,65.62675482,266.0376408,0.0,0.0
7,0.741054474,276.8667376,270.0144598,0.0,0.0
8,1.038458786,4.718812516,0.005032472,1.0,1.0
9,291.5311848,0.287721591,0.004935636,0.0,0.0
10,79.90502431,18.68656355,0.01896153,0.0,0.0
11,633.0341513,3.322547238,0.301440633,0.0,0.0
12,0.001850491,0.552476714,0.553036774,1.0,1.0
13,0.102480287,0.04528927,2.407148244,1.0,1.0
14,851.6792526,189.7874925,0.019894535,0.0,0.0
15,132.2385523,0.103699532,0.015984209,0.0,0.0
16,5.238243612,0.463102829,0.002393634,0.0,0.0
17,0.061414241,4.458735412,865.3125045,0.0,0.0
18,0.022299696,2.493965308,1.367671273,1.0,1.0
19,0.001138295,9.29390524,0.002875839,1.0,1.0
20,17.526385249784198,28.885948538745826,0.004347333882318021,1.0,1.0
21,0.004902546,0.270518965,149.3672326,0.0,0.0
22,3.4044820662053605,0.11047844864882579,0.2524196307990307,1.0,1.0
23,1.067412784,3.270425251,0.004320083,1.0,1.0
24,0.639564973,5.27239632,42.78841457,0.0,0.0
25,0.251484801,1.401791872,0.001363741,1.0,1.0
26,1.029417784,7.09432893,1.561948285,1.0,1.0
27,465.4538353,0.047989791,172.6668219,0.0,0.0
28,0.731473755,0.766371658,0.672207629,1.0,1.0
29,0.020097569,0.127488628,262.5362891,0.0,0.0
30,3.063644658,296.6143844,69.48608553,0.0,0.0
31,295.2806941,0.3683387,0.056803955,0.0,0.0
32,784.6393639,0.241965712,0.239377523,0.0,0.0
33,120.8134472,0.566893701,287.7279931,0.0,0.0
34,199.2341097,0.023941868,0.074363618,0.0,0.0
35,68.04727525,144.7343618,11.33627128,0.0,1.0
36,204.8220424,0.537701457,0.004540678,0.0,0.0
37,9.060449117,0.063984396,0.007652079,0.0,0.0
38,13.80184648,0.532167543,0.003743911,0.0,0.0
39,548.6928624,21.55720841,16.17514803,0.0,0.0
40,0.022414431,12.74472384,3.162361939,1.0,1.0
41,0.001225069,283.8158507,21.53431617,0.0,0.0
42,117.3155726,0.031344841,0.010381355,0.0,0.0
43,0.031331762,0.174438419,0.247200967,1.0,1.0
44,16.2819602,0.218066118,497.4620053,0.0,0.0
45,6.969129577,2.286807252,33.42905786,0.0,0.0
46,0.031244424,16.36526462,0.990746186,1.0,1.0
47,210.0030449,0.109274368,16.55425686,0.0,0.0
48,0.006450103,7.365944146,5.342972148,1.0,1.0
49,0.384035743,0.182774613,695.9284452,0.0,0.0
50,55.89632093,0.365018067,894.1678881,0.0,0.0
51,4.998984064,0.039119356,8.356660218,0.0,1.0
52,0.024539544,0.275167868,0.232792714,1.0,1.0
53,130.054567,0.018916004,19.26549274,0.0,0.0
54,129.7677971,0.114597587,2.619032378,0.0,0.0
55,0.13563813310662404,2.4400230482996905,0.07155280548564194,1.0,1.0
56,0.09913456396383366,0.03962612365354747,0.27792456532392606,1.0,1.0
57,0.016549993,0.643970483,42.17100559,0.0,0.0
58,21.1949807,154.6234034,0.70421541,1.0,1.0
59,102.4251513,230.9920958,33.60810421,0.0,0.0
60,0.007500457,3.357085165,0.025272178,1.0,1.0
61,3.098556023,0.193480015,0.350825996,1.0,1.0
62,0.002489735,65.83023464,0.02480097,1.0,1.0
63,0.052740748,4.829031852,8.45560531,1.0,1.0
64,0.003397575,0.124661028,51.74179396,0.0,0.0
65,1.328473941,0.154776857,0.002220614,1.0,1.0
66,0.10573737858236268,166.42218708956923,0.0058935621781141395,1.0,1.0
67,45.98321044,28.64139029,0.029250755,0.0,0.0
68,147.437266,0.710057285,3.523942619,0.0,0.0
69,0.01081374,0.348201028,343.9645187,0.0,0.0
70,0.001112751,17.50591885,6.286860965,1.0,1.0
71,0.102606651,0.447003133,0.009091959,1.0,1.0
72,21.40238853,54.67691392,0.027359358,1.0,1.0
73,0.086865213,0.024547468,2.138748538,1.0,1.0
74,123.282465,54.15152231,0.074616929,0.0,0.0
75,8.467377246,0.48683651,0.033927166,0.0,0.0
76,0.001616906,53.46383318,538.4200007,0.0,0.0
77,0.206039885,52.86551623,0.951864789,1.0,1.0
78,1.372357239,139.0452126,0.001377,1.0,1.0
79,639.4840995,24.47713153,380.436923,0.0,0.0
80,11.84841954,0.164520786,7.641309205,0.0,0.0
81,11.79398749,0.031589837,0.003229901,0.0,0.0
